round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,continuous_weight_search,0.0005,20,0.9999999,3907390.2,2983944.5,-0.9999999,0.35128382,-1.3991544246673584,fedyogi,0.5,0.25,1.0,13.036936016538236,5.378457035317721,False,True,False,size_anchor_lr0p5_ep+0,,accepted,1.0253783414023068,size_anchor,30,0.0,0.002,,0.4,0.9999087452888489,148,1566.158251953125,13.202980828336942,13.202980828336942,1.9998174905776978,0.9999753832817078,150,1602.8050048828125,12.958765266907944,12.958765266907944,1.9999507665634155,0.9999959468841553,140,1353.9193359375,13.438986621784245,13.438986621784245,1.9999918937683105,0.3378995433789954,0.3424657534246575,0.319634703196347
2,continuous_weight_search,0.0005,20,0.99994344,3906544.0,2983558.0,-0.99994344,0.35120773,-1.3981153964996338,fedyogi,0.5,0.25,1.0,8.837137954177829,5.390091400629538,False,True,True,size_anchor_lr0p5_ep+0,,accepted,1.025337715011126,size_anchor,30,0.0,0.002,,0.4,0.9998394846916199,148,1478.351611328125,9.13261526627546,9.13261526627546,1.9996789693832397,0.9998233318328857,150,1488.7443115234375,8.942295070730669,8.942295070730669,1.9996466636657715,0.9999552965164185,140,1282.495849609375,9.23319910205128,9.23319910205128,1.999910593032837,0.3378995433789954,0.3424657534246575,0.319634703196347
3,continuous_weight_search,0.0005,20,0.9991289,3898287.2,2979106.8,-0.9991289,0.35046542,-1.387988805770874,fedyogi,1.0,0.5,1.0,6.968228421083712,4.959918114792257,False,True,True,size_anchor,,fallback_conservative_epsilon,1.0241471909018864,size_anchor,30,0.0,0.002,,0.4,0.9995536804199219,148,1402.2240966796876,7.3417929307988885,7.3417929307988885,1.9991073608398438,0.999502956867218,150,1413.093408203125,7.416008335108364,7.416008335108364,1.999005913734436,0.9996960163116455,140,1202.8211181640625,7.0935855834639945,7.0935855834639945,1.999392032623291,0.3378995433789954,0.3424657534246575,0.319634703196347
4,continuous_weight_search,0.0005,20,0.9971062,3886267.0,2970794.5,-0.9971062,0.34938478,-1.3732848167419434,fedyogi,0.5,0.25,1.0,7.307909617385408,2.7149740188865588,False,True,True,size_anchor_lr0p5_ep+0,,accepted,1.019920529457882,size_anchor,30,0.0,0.002,,0.4,0.9992085695266724,148,1290.5282470703125,8.260867099627639,8.260867099627639,1.9984171390533447,0.9990012645721436,150,1351.56640625,7.675256158549649,7.675256158549649,1.998002529144287,0.9992539882659912,140,1134.2456787109375,7.112773580901567,7.112773580901567,1.9985079765319824,0.3378995433789954,0.3424657534246575,0.319634703196347
5,continuous_weight_search,0.0005,20,0.9947165,3876105.8,2962242.5,-0.9947165,0.34847125,-1.3608906269073486,fedyogi,0.5,0.25,1.0,8.186635146941748,2.9862073031615908,False,True,True,size_anchor_lr0p5_ep+0,,accepted,1.0178971424666596,size_anchor,30,0.0,0.002,,0.4,0.9986346364021301,148,1221.910791015625,8.280008665542379,8.280008665542379,1.9972692728042603,0.9975330233573914,150,1246.1746826171875,8.87718213209507,8.87718213209507,1.9950660467147827,0.9985423684120178,140,1043.446826171875,8.884312278832803,8.884312278832803,1.9970847368240356,0.3378995433789954,0.3424657534246575,0.319634703196347
6,continuous_weight_search,0.0005,20,0.99115705,3865226.0,2951351.2,-0.99115705,0.34749314,-1.3476557731628418,fedyogi,0.5,0.25,1.0,9.713608454027758,3.442427968710307,False,True,True,size_anchor_lr0p5_ep+0,,accepted,1.014888201808661,size_anchor,30,0.0,0.002,,0.4,0.9974220395088196,148,1132.1177734375,10.113322936688988,10.113322936688988,1.9948440790176392,0.9949528574943542,150,1149.1790283203125,10.562123334488897,10.562123334488897,1.9899057149887085,0.9972577691078186,140,952.2505493164062,9.447354658888049,9.447354658888049,1.9945155382156372,0.3378995433789954,0.3424657534246575,0.319634703196347
7,continuous_weight_search,0.0005,20,0.9881151,3851665.8,2940202.0,-0.9881151,0.34627405,-1.331212043762207,fedyogi,0.5,0.25,1.0,8.980850085915735,3.5494877832322302,False,True,True,size_anchor_lr0p5_ep+0,,accepted,1.0121079220312028,size_anchor,30,0.0,0.002,,0.4,0.9953439831733704,148,1045.38056640625,10.22364996385841,10.22364996385841,1.9906879663467407,0.9909124970436096,150,1045.1033569335937,9.773823043900153,9.773823043900153,1.9818249940872192,0.993972659111023,140,891.392431640625,8.154429485795458,8.154429485795458,1.987945318222046,0.3378995433789954,0.3424657534246575,0.319634703196347
8,continuous_weight_search,0.0005,20,0.9819771,3828478.5,2920017.2,-0.9819771,0.34418947,-1.3032286167144775,fedyogi,0.5,0.25,1.0,8.473750085755553,3.5003736572568473,False,True,True,candidate_003_lr0p5_ep+0,,accepted,1.006998692806274,local_grid,30,0.09999999999999998,0.002,,0.4,0.9929324984550476,148,942.7209594726562,9.199572991622336,9.199572991622336,1.9858649969100952,0.9853647947311401,150,956.1556640625,10.407259391728056,10.407259391728056,1.9707295894622803,0.9905591607093811,140,806.67158203125,7.329603014577857,7.329603014577857,1.9811183214187622,0.2878995433789954,0.3424657534246575,0.369634703196347
9,continuous_weight_search,0.0005,20,0.97554296,3801710.5,2898061.8,-0.97554296,0.34178296,-1.2711334228515625,fedyogi,0.5,0.25,1.0,8.188508050988103,3.3815455925328517,False,True,True,previous_accepted_lr0p5_ep+0,,accepted,0.9994900537025793,previous_accepted,30,0.0,0.002,,0.4,0.9880724549293518,148,862.46845703125,10.227547969637525,10.227547969637525,1.9761449098587036,0.9747345447540283,150,870.2506469726562,9.498088060821633,9.498088060821633,1.9494690895080566,0.9847317934036255,140,718.5941772460938,7.129875876946595,7.129875876946595,1.969463586807251,0.2878995433789954,0.3424657534246575,0.369634703196347
10,continuous_weight_search,0.0005,20,0.9656648,3759283.8,2863298.0,-0.9656648,0.33796868,-1.2207252979278564,fedyogi,0.5,0.25,1.0,7.614418178245191,3.091446683906994,False,True,True,previous_accepted_lr0p5_ep+0,,accepted,0.9893888419132466,previous_accepted,30,0.0,0.002,,0.4,0.9814925193786621,148,728.8863037109375,8.757246462206036,8.757246462206036,1.9629850387573242,0.9636991620063782,150,763.19599609375,8.912526730253862,8.912526730253862,1.9273983240127563,0.9751363396644592,140,653.3330322265625,7.108835423614471,7.108835423614471,1.9502726793289185,0.2878995433789954,0.3424657534246575,0.369634703196347
